版本,Cluster,Cluster总样本数,Cluster男性样本数,Cluster女性样本数,指标,性别亚组,n,均值,中位数,参考下限,参考上限,参考中心,偏离方向,异常比例,p_raw,p_adj,显著性,显著,显著_bool,effect_score,出现Cluster数,版本总Cluster数,Cluster覆盖比例,是否共同异常,median_effect,directional_effect,clinical_severity,同指标最高严重度,同指标第二严重度,是否同指标最突出Cluster,差异化领先幅度,差异化分数,可用于差异化命名
M3_Mean_topk0,2,331,144,187,肛门括约肌长度(cm),M,144,2.59,2.4,3.4,5.9,4.65,低,0.701,9.06317376154183e-24,1.0150754612926849e-21,***,True,True,2.668741935483871,3,3,1.0,True,0.48387096774193555,-0.48387096774193555,1.1848709677419356,1.4484086021505376,1.1848709677419356,False,0.0,1.3773064516129034,False
M3_Mean_topk0,2,331,144,187,肛门括约肌长度(cm),F,187,2.27,2.1,2.7,5.1,3.9,低,0.695,7.430112350943713e-30,9.287640438679642e-28,***,True,True,2.6180769230769227,3,3,1.0,True,0.4615384615384615,-0.4615384615384615,1.1565384615384615,1.4373846153846155,1.1565384615384615,False,0.0,1.3348076923076921,False
M3_Mean_topk0,2,331,144,187,RAIR诱发最小容积(ml),ALL,331,17.45,10.0,0.0,30.0,30.0,低,0.057,8.603907973819728e-39,1.1357158525442044e-36,***,True,True,2.3903333333333334,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7236666666666667,0.7316666666666667,0.7236666666666667,False,0.0,0.6855000000000001,False
M3_Mean_topk0,2,331,144,187,初始便意阈值(ml),ALL,330,67.95,60.0,57.0,196.0,126.5,低,0.258,6.000436503679131e-54,1.0920794436696016e-51,***,True,True,2.3093833992094863,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.783691699604743,0.783691699604743,0.755691699604743,True,0.028000000000000025,1.6035375494071147,True
M3_Mean_topk0,2,331,144,187,排便窘迫感阈值(ml),ALL,330,112.33,100.0,93.0,241.0,167.0,低,0.412,2.9856970838639772e-46,4.836829275859642e-44,***,True,True,2.2143952095808386,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.8131976047904191,0.9810778443113772,0.8771976047904191,False,0.0,0.8197964071856286,False
M3_Mean_topk0,2,331,144,187,肛门括约肌静息压(mmHg),M,144,59.07,58.15,59.0,115.0,87.0,低,0.535,1.217783028409483e-22,1.290850010114052e-20,***,True,True,2.198218390804598,3,3,1.0,True,0.3316091954022989,-0.3316091954022989,0.866609195402299,1.4179655172413792,0.866609195402299,False,0.0,0.8999137931034483,False
M4_旧Attn_topk4,0,309,139,170,肛门括约肌长度(cm),F,170,2.32,2.1,2.7,5.1,3.9,低,0.682,3.6001524926128555e-27,4.284181466209299e-25,***,True,True,2.605076923076923,3,3,1.0,True,0.4615384615384615,-0.4615384615384615,1.1435384615384616,1.4323846153846154,1.1435384615384616,False,0.0,1.3153076923076923,False
M4_旧Attn_topk4,0,309,139,170,肛门括约肌长度(cm),M,139,2.65,2.6,3.4,5.9,4.65,低,0.676,7.19345327491711e-23,7.696995004161308e-21,***,True,True,2.557720430107527,3,3,1.0,True,0.44086021505376344,-0.44086021505376344,1.1168602150537634,1.4444086021505376,1.1168602150537634,False,0.0,1.2752903225806453,False
M4_旧Attn_topk4,0,309,139,170,RAIR诱发最小容积(ml),ALL,309,17.49,10.0,0.0,30.0,30.0,低,0.058,8.031106545533475e-37,1.0360127443738184e-34,***,True,True,2.3913333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7246666666666667,0.7326666666666666,0.7246666666666667,False,0.0,0.6869999999999999,False
M4_旧Attn_topk4,0,309,139,170,初始便意阈值(ml),ALL,308,67.63,60.0,57.0,196.0,126.5,低,0.253,1.394903214766817e-51,2.4968767544326018e-49,***,True,True,2.304383399209486,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.778691699604743,0.778691699604743,0.751691699604743,True,0.027000000000000024,1.5950375494071145,True
M4_旧Attn_topk4,0,309,139,170,排便窘迫感阈值(ml),ALL,308,112.87,100.0,93.0,241.0,167.0,低,0.393,8.10677096254118e-44,1.272763041118965e-41,***,True,True,2.1953952095808384,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.7941976047904191,0.9750778443113772,0.8901976047904192,False,0.0,0.7912964071856287,False
M4_旧Attn_topk4,0,309,139,170,肛门括约肌静息压(mmHg),M,139,60.75,59.2,59.0,115.0,87.0,低,0.504,3.504028546186115e-21,3.5040285461861147e-19,***,True,True,2.1430804597701147,3,3,1.0,True,0.3195402298850574,-0.3195402298850574,0.8235402298850574,1.4259655172413792,0.8235402298850574,False,0.0,0.8353103448275861,False
M4_旧Attn_topk4,1,326,84,241,肛门括约肌长度(cm),M,84,2.08,1.7,3.4,5.9,4.65,低,0.81,3.278640878108191e-15,2.6556991112676346e-13,***,True,True,3.0788172043010755,3,3,1.0,True,0.6344086021505376,-0.6344086021505376,1.4444086021505376,1.4444086021505376,1.1168602150537634,True,0.32754838709677414,2.89416129032258,True
M4_旧Attn_topk4,1,326,84,241,肛门括约肌长度(cm),F,241,1.79,1.5,2.7,5.1,3.9,低,0.817,3.008235539682977e-40,4.0009532677783594e-38,***,True,True,3.047769230769231,3,3,1.0,True,0.6153846153846154,-0.6153846153846154,1.4323846153846154,1.4323846153846154,1.1435384615384616,True,0.28884615384615375,2.8374230769230766,True
M4_旧Attn_topk4,1,326,84,241,肛门括约肌静息压(mmHg),M,84,37.79,37.5,59.0,115.0,87.0,低,0.857,1.7102447816903898e-15,1.4708105122537353e-13,***,True,True,2.9949310344827587,3,3,1.0,True,0.5689655172413793,-0.5689655172413793,1.4259655172413792,1.4259655172413792,0.8235402298850574,True,0.6024252873563218,3.1413735632183903,True
M4_旧Attn_topk4,1,326,84,241,肛门括约肌静息压(mmHg),F,241,36.82,35.2,47.0,101.0,74.0,低,0.718,2.668528179826774e-40,3.575827760967877e-38,***,True,True,2.7666486486486486,3,3,1.0,True,0.5243243243243243,-0.5243243243243243,1.2423243243243243,1.2423243243243243,0.5196756756756757,True,0.7226486486486485,2.9861351351351346,True
M4_旧Attn_topk4,1,326,84,241,排便窘迫感阈值(ml),ALL,319,104.85,90.0,93.0,241.0,167.0,低,0.514,5.866587149538538e-48,9.679868796738588e-46,***,True,True,2.4361556886227547,3,3,1.0,True,0.46107784431137727,-0.46107784431137727,0.9750778443113772,0.9750778443113772,0.8901976047904192,True,0.08488023952095802,1.947497005988024,True
M4_旧Attn_topk4,1,326,84,241,RAIR诱发最小容积(ml),ALL,326,17.18,10.0,0.0,30.0,30.0,低,0.049,1.5421265430602676e-41,2.18981969114558e-39,***,True,True,2.3823333333333334,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7156666666666667,0.7326666666666666,0.7246666666666667,False,0.0,0.6735000000000001,False
M4_旧Attn_topk4,2,350,157,193,肛门括约肌长度(cm),F,193,2.5,2.3,2.7,5.1,3.9,低,0.606,3.069871312164122e-25,3.5917494352320226e-23,***,True,True,2.4265128205128206,3,3,1.0,True,0.4102564102564103,-0.4102564102564103,1.0162564102564102,1.4323846153846154,1.1435384615384616,False,0.0,1.1243846153846153,False
M4_旧Attn_topk4,2,350,157,193,RAIR诱发最小容积(ml),ALL,350,18.2,10.0,0.0,30.0,30.0,低,0.066,3.726895201855989e-36,4.770425858375666e-34,***,True,True,2.3993333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7326666666666666,0.7326666666666666,0.7246666666666667,True,0.007999999999999896,1.5069999999999997,True
M4_旧Attn_topk4,2,350,157,193,排便窘迫感阈值(ml),ALL,348,111.15,100.0,93.0,241.0,167.0,低,0.489,1.4939895686751243e-47,2.450142892627204e-45,***,True,True,2.2913952095808385,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.8901976047904192,0.9750778443113772,0.8901976047904192,False,0.0,0.9352964071856288,False
M4_旧Attn_topk4,2,350,157,193,初始便意阈值(ml),ALL,349,65.7,60.0,57.0,196.0,126.5,低,0.218,2.24019780163204e-59,4.301179779133517e-57,***,True,True,2.2693833992094863,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.743691699604743,0.778691699604743,0.751691699604743,False,0.0,0.7155375494071144,False
M4_旧Attn_topk4,2,350,157,193,最大容量感觉阈值(ml),ALL,348,165.27,150.0,155.0,309.0,232.0,低,0.523,1.2886531966880954e-43,2.0102989868334287e-41,***,True,True,2.229896551724138,3,3,1.0,True,0.35344827586206895,-0.35344827586206895,0.876448275862069,0.9424482758620689,0.876448275862069,False,0.0,0.9146724137931034,False
M4_旧Attn_topk4,2,350,157,193,肛门括约肌长度(cm),M,157,3.12,3.2,3.4,5.9,4.65,低,0.561,2.823358642173366e-20,2.738657882908165e-18,***,True,True,2.184655913978495,3,3,1.0,True,0.3118279569892473,-0.3118279569892473,0.8728279569892474,1.4444086021505376,1.1168602150537634,False,0.0,0.9092419354838711,False
M5_旧Mean_topk6,0,299,134,165,肛门括约肌长度(cm),M,134,2.64,2.45,3.4,5.9,4.65,低,0.687,5.302720537377866e-22,5.461802153499201e-20,***,True,True,2.6332365591397853,3,3,1.0,True,0.4731182795698925,-0.4731182795698925,1.1601182795698926,1.4661612903225807,1.1601182795698926,False,0.0,1.340177419354839,False
M5_旧Mean_topk6,0,299,134,165,肛门括约肌长度(cm),F,165,2.31,2.1,2.7,5.1,3.9,低,0.691,2.2881124099219415e-26,2.699972643707891e-24,***,True,True,2.614076923076923,3,3,1.0,True,0.4615384615384615,-0.4615384615384615,1.1525384615384615,1.4333846153846155,1.1525384615384615,False,0.0,1.3288076923076924,False
